LSOA21CD,LSOA21NM,LSOA21NMW,ObjectId
E01009502,Birmingham 101C,,8959
E01009503,Birmingham 101D,,8960
E01009504,Birmingham 109D,,8961
E01009505,Birmingham 101E,,8962
E01009506,Birmingham 109E,,8963
E01009507,Birmingham 056B,,8964
E01009508,Birmingham 056C,,8965
E01009509,Birmingham 056D,,8966
E01009510,Birmingham 056E,,8967
E01009511,Birmingham 054F,,8968
E01009512,Birmingham 062A,,8969
E01009513,Birmingham 066F,,8970
E01009514,Birmingham 062B,,8971
E01009515,Birmingham 067C,,8972
E01009516,Birmingham 062C,,8973
E01009517,Birmingham 062D,,8974
E01009518,Birmingham 067D,,8975
E01009519,Birmingham 072C,,8976
E01009520,Birmingham 072D,,8977
E01009521,Birmingham 067E,,8978
E01009522,Coventry 014A,,8979
E01009523,Coventry 010A,,8980
E01009524,Coventry 006A,,8981
E01009525,Coventry 006B,,8982
E01009526,Coventry 010B,,8983
E01009393,Birmingham 143D,,8984
E01009527,Coventry 006C,,8985
E01009607,Coventry 004C,,8986
E01009447,Birmingham 005C,,8987
E01009394,Birmingham 093D,,8988
E01009333,Birmingham 139F,,8989
E01009528,Coventry 010C,,8990
E01009550,Coventry 037C,,8991
E01009608,Coventry 004D,,8992
E01009448,Birmingham 005D,,8993
E01009395,Birmingham 097F,,8994
E01009334,Birmingham 070B,,8995
E01009529,Coventry 014B,,8996
E01009552,Coventry 037E,,8997
E01009609,Coventry 005D,,8998
E01009449,Birmingham 009A,,8999
E01009396,Birmingham 082D,,9000
E01009335,Birmingham 139G,,9001
E01009530,Coventry 014C,,9002
E01009553,Coventry 031B,,9003
E01009610,Coventry 004E,,9004
E01009450,Birmingham 012E,,9005
E01009397,Birmingham 077E,,9006
E01009337,Birmingham 070C,,9007
E01009531,Coventry 010D,,9008
E01009554,Coventry 034A,,9009
E01009612,Coventry 035F,,9010
E01009451,Birmingham 009B,,9011
E01009399,Birmingham 083E,,9012
E01009338,Birmingham 070D,,9013
E01009532,Coventry 033A,,9014
E01009555,Coventry 034B,,9015
E01009613,Coventry 018A,,9016
E01009452,Birmingham 005E,,9017
E01009400,Birmingham 031E,,9018
E01009339,Birmingham 142A,,9019
E01009535,Coventry 033B,,9020
E01009556,Coventry 034C,,9021
E01009614,Coventry 021A,,9022
E01009453,Birmingham 009C,,9023
E01009401,Birmingham 031F,,9024
E01009341,Birmingham 066E,,9025
E01009536,Coventry 033C,,9026
E01009557,Coventry 034D,,9027
E01009615,Coventry 027A,,9028
E01009454,Birmingham 006E,,9029
E01009403,Birmingham 020A,,9030
E01009342,Birmingham 063D,,9031
E01009537,Coventry 035C,,9032
E01009558,Coventry 034E,,9033
E01009616,Coventry 027B,,9034
E01009455,Birmingham 005F,,9035
E01009404,Birmingham 020B,,9036
E01009343,Birmingham 063E,,9037
E01009538,Coventry 035D,,9038
E01009559,Coventry 034F,,9039
E01009560,Coventry 040A,,9040
E01009561,Coventry 040B,,9041
E01009562,Coventry 040C,,9042
E01009563,Coventry 040D,,9043
E01009564,Coventry 005A,,9044
E01009565,Coventry 009A,,9045
E01009566,Coventry 009B,,9046
E01009567,Coventry 009C,,9047
E01009568,Coventry 009D,,9048
E01009569,Coventry 015A,,9049
E01009570,Coventry 015B,,9050
E01009571,Coventry 015C,,9051
E01009573,Coventry 015E,,9052
E01009574,Coventry 015F,,9053
E01009575,Coventry 005B,,9054
E01009576,Coventry 008A,,9055
E01009577,Coventry 007A,,9056
E01009578,Coventry 008B,,9057
E01009579,Coventry 007B,,9058
E01009580,Coventry 019A,,9059
E01009581,Coventry 007C,,9060
E01009582,Coventry 008C,,9061
E01009583,Coventry 008D,,9062
E01009584,Coventry 007D,,9063
E01009585,Coventry 007E,,9064
E01009586,Coventry 008E,,9065
E01009587,Coventry 011A,,9066
E01009588,Coventry 043A,,9067
E01009589,Coventry 001A,,9068
E01009590,Coventry 002A,,9069
E01009591,Coventry 002B,,9070
E01009592,Coventry 043B,,9071
E01009593,Coventry 002C,,9072
E01009344,Birmingham 139H,,9073
E01009345,Birmingham 053D,,9074
E01009346,Birmingham 053E,,9075
E01009347,Birmingham 049D,,9076
E01009348,Birmingham 047A,,9077
E01009349,Birmingham 036D,,9078
E01009350,Birmingham 039B,,9079
E01009351,Birmingham 036E,,9080
E01009352,Birmingham 039C,,9081
E01009353,Birmingham 039D,,9082
E01009354,Birmingham 036F,,9083
E01009355,Birmingham 039E,,9084
E01009358,Birmingham 047B,,9085
E01009359,Birmingham 047C,,9086
E01009360,Birmingham 047D,,9087
E01009361,Birmingham 047E,,9088
E01009362,Birmingham 071A,,9089
E01009363,Birmingham 071B,,9090
E01009364,Birmingham 071C,,9091
E01009365,Birmingham 071D,,9092
E01009366,Birmingham 084A,,9093
E01009367,Birmingham 083A,,9094
E01009368,Birmingham 077A,,9095
E01009371,Birmingham 077D,,9096
E01009372,Birmingham 082A,,9097
E01009373,Birmingham 082B,,9098
E01009374,Birmingham 084B,,9099
E01009456,Birmingham 018C,,9100
E01009375,Birmingham 083B,,9101
E01009405,Birmingham 020C,,9102
E01009457,Birmingham 015A,,9103
E01009376,Birmingham 084C,,9104
E01009406,Birmingham 020D,,9105
E01009617,Coventry 027C,,9106
E01009458,Birmingham 018D,,9107
E01009377,Birmingham 083C,,9108
E01009407,Birmingham 020E,,9109
E01009618,Coventry 027D,,9110
E01009459,Birmingham 015B,,9111
E01009379,Birmingham 071E,,9112
E01009408,Birmingham 026B,,9113
E01009620,Coventry 027E,,9114
E01009460,Birmingham 018E,,9115
E01009380,Birmingham 070E,,9116
E01009409,Birmingham 026C,,9117
E01009621,Coventry 027F,,9118
E01009461,Birmingham 015C,,9119
E01009410,Birmingham 026D,,9120
E01009622,Coventry 012A,,9121
E01009462,Birmingham 018F,,9122
E01009411,Birmingham 030B,,9123
E01009623,Coventry 012B,,9124
E01009463,Birmingham 015D,,9125
E01009412,Birmingham 030C,,9126
E01009624,Coventry 011B,,9127
E01009464,Birmingham 007B,,9128
E01009413,Birmingham 030D,,9129
E01009625,Coventry 011C,,9130
E01009465,Birmingham 007C,,9131
E01009414,Birmingham 030E,,9132
E01009626,Coventry 011D,,9133
E01009466,Birmingham 009D,,9134
E01009415,Birmingham 002A,,9135
E01009627,Coventry 012C,,9136
E01009467,Birmingham 007D,,9137
E01009416,Birmingham 003A,,9138
E01009417,Birmingham 001A,,9139
E01009418,Birmingham 001B,,9140
E01009419,Birmingham 001C,,9141
E01009420,Birmingham 003B,,9142
E01009421,Birmingham 004A,,9143
E01009422,Birmingham 002B,,9144
E01009423,Birmingham 002C,,9145
E01009424,Birmingham 004B,,9146
E01009425,Birmingham 002D,,9147
E01009426,Birmingham 003C,,9148
E01009427,Birmingham 004C,,9149
E01009428,Birmingham 004D,,9150
E01009429,Birmingham 003D,,9151
E01009430,Birmingham 004E,,9152
E01009431,Birmingham 003E,,9153
E01009432,Birmingham 006A,,9154
E01009433,Birmingham 001D,,9155
E01009434,Birmingham 012A,,9156
E01009435,Birmingham 006B,,9157
E01009436,Birmingham 012B,,9158
E01009468,Birmingham 004F,,9159
E01009469,Birmingham 010B,,9160
E01009470,Birmingham 010C,,9161
E01009471,Birmingham 009E,,9162
E01009472,Birmingham 010D,,9163
E01009473,Birmingham 010E,,9164
E01009474,Birmingham 010F,,9165
E01009475,Birmingham 055A,,9166
E01009476,Birmingham 055B,,9167
E01009477,Birmingham 055C,,9168
E01009478,Birmingham 048A,,9169
E01009479,Birmingham 048B,,9170
E01009480,Birmingham 044C,,9171
E01009481,Birmingham 044D,,9172
E01009482,Birmingham 048C,,9173
E01009483,Birmingham 051B,,9174
E01009484,Birmingham 048D,,9175
E01009485,Birmingham 048E,,9176
E01009486,Birmingham 044E,,9177
E01009628,Coventry 012D,,9178
E01009630,Coventry 020B,,9179
E01009631,Coventry 020C,,9180
E01009632,Coventry 020D,,9181
E01009633,Coventry 028A,,9182
E01009634,Coventry 028B,,9183
E01009636,Coventry 024A,,9184
E01009637,Coventry 024B,,9185
E01009638,Coventry 024C,,9186
E01009639,Coventry 024D,,9187
E01009640,Coventry 024E,,9188
E01009641,Coventry 024F,,9189
E01009643,Coventry 017A,,9190
E01009644,Coventry 017B,,9191
E01009645,Coventry 014D,,9192
E01009646,Coventry 022A,,9193
E01009647,Coventry 017C,,9194
E01009648,Coventry 017D,,9195
E01009649,Coventry 026A,,9196
E01009650,Coventry 020E,,9197
E01009651,Coventry 031D,,9198
E01009652,Coventry 017E,,9199
E01009653,Coventry 017F,,9200
E01009762,Dudley 006F,,9201
E01009763,Dudley 001A,,9202
E01009764,Dudley 001B,,9203
E01009765,Dudley 004A,,9204
E01009766,Dudley 004B,,9205
E01009767,Dudley 001C,,9206
E01009768,Dudley 004C,,9207
E01009769,Dudley 001D,,9208
E01009770,Dudley 001E,,9209
E01009771,Dudley 004D,,9210
E01009772,Dudley 005C,,9211
E01009773,Dudley 002A,,9212
E01009774,Dudley 005D,,9213
E01009775,Dudley 004E,,9214
E01009776,Dudley 004F,,9215
E01009777,Dudley 002B,,9216
E01009778,Dudley 002C,,9217
E01009779,Dudley 008A,,9218
E01009780,Dudley 009A,,9219
E01009781,Dudley 007A,,9220
E01009782,Dudley 008B,,9221
E01009783,Dudley 008C,,9222
E01009784,Dudley 009B,,9223
E01009785,Dudley 008D,,9224
E01009786,Dudley 007B,,9225
E01009787,Dudley 009C,,9226
E01009788,Dudley 005E,,9227
E01009710,Coventry 013C,,9228
